locus	samples	reason
DVSSR3	SRR10418407_Virginia_2_USA	QUALITY
DVSSR3	SRR10418408_Virginia_1_USA	QUALITY
DVSSR3	SRR10418409_Pennsylvania_USA	QUALITY
DVSSR3	SRR10418410_New_York_USA	STUTTER_FRACTION
DVSSR3	SRR10418411_Illinois_USA	STUTTER_FRACTION
DVSSR3	SRR10418412_Wisconsin_USA	QUALITY
DVSSR3	SRR10418413_Arizona_USA	NO_READS
DVSSR3	SRR10418414_Australia	QUALITY
DVSSR3	SRR10418415_Uruguay	STUTTER_FRACTION
DVSSR3	SRR10418416_Armenia	STUTTER_FRACTION
DVSSR3	SRR10418417_Romania	STUTTER_FRACTION
DVSSR3	SRR10418418_Austria	PASS
DVSSR3	SRR10418419_Palatinat_Germany	STUTTER_FRACTION
DVSSR3	SRR10418420_south-west_France	STUTTER_FRACTION
DVSSR3	SRR10418421_Massasuchetts_USA	QUALITY
DVSSR3	SRR10418422_Washington_USA	FLANK_INDEL_FRAC
DVSSR3	SRR10418423_California_USA	PASS
DVSSR4	HGMFWDSXY_Y21S0015-dv10g20vaitc8155	PASS
DVSSR4	HGMFWDSXY_Y21S0015-dv14g38vaitc8157	PASS
DVSSR4	HGMFWDSXY_Y21S0015-dv15g1vaitc8151	PASS
DVSSR4	HGMFWDSXY_Y21S0015-dv18g4vaitc8152	PASS
DVSSR4	HGMFWDSXY_Y21S0015-dv21g19vaitc8154	PASS
DVSSR4	HGMFWDSXY_Y21S0015-dv22g19vaitc8154	PASS
DVSSR4	HGMFWDSXY_Y21S0015-dv25g30vaitc8156	PASS
DVSSR4	HGMFWDSXY_Y21S0015-dv26g30vaitc8156	PASS
DVSSR4	HGMFWDSXY_Y21S0015-dv27g38vaitc8157	PASS
DVSSR4	HGMFWDSXY_Y21S0015-dv2g1vaitc8151	PASS
DVSSR4	HGMFWDSXY_Y21S0015-dv5g7vaitc8153	QUALITY
DVSSR4	HGMFWDSXY_Y21S0015-dv6g7vaitc8153	PASS
DVSSR4	HGMFWDSXY_Y21S0015-dv9g20vaitc8155	PASS
DVSSR4	SRR10418406_West_Virginia_USA	STUTTER_FRACTION
DVSSR4	SRR10418407_Virginia_2_USA	QUALITY
DVSSR4	SRR10418408_Virginia_1_USA	QUALITY
DVSSR4	SRR10418409_Pennsylvania_USA	NO_READS
DVSSR4	SRR10418410_New_York_USA	PASS
DVSSR4	SRR10418411_Illinois_USA	PASS
DVSSR4	SRR10418412_Wisconsin_USA	PASS
DVSSR4	SRR10418413_Arizona_USA	NO_READS
DVSSR4	SRR10418414_Australia	QUALITY
DVSSR4	SRR10418415_Uruguay	QUALITY
DVSSR4	SRR10418416_Armenia	PASS
DVSSR4	SRR10418417_Romania	STUTTER_FRACTION
DVSSR4	SRR10418418_Austria	PASS
DVSSR4	SRR10418419_Palatinat_Germany	QUALITY
DVSSR4	SRR10418420_south-west_France	STUTTER_FRACTION
DVSSR4	SRR10418421_Massasuchetts_USA	QUALITY
DVSSR4	SRR10418422_Washington_USA	PASS
DVSSR4	SRR10418423_California_USA	STUTTER_FRACTION
